NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
2023019527,2023-10-17 10:46,2023,10,17,광주지사,도로안전팀,유지보수,공통,시설,"고속도로 통로박스 침수 위험
(배수로 연결부)",호남선(67.3),논산천안선/호남선67.3,논산천안선/호남선,67.3,35.22310626,126.9683309, 국민신문고 , 시설환경 
2023019519,2023-10-17 9:40,2023,10,17,보성지사,고객지원팀,영업,공통,휴게소,휴게소 쓰레기 분리수거 불만,보성휴게소(순천),남해선(영암순천)68.1,남해선(영암순천),68.1,34.80812991,127.1807833, 안전신문고 , 시설환경 
2023019516,2023-10-17 9:36,2023,10,17,함평지사,고객지원팀,영업,함평나비(11.4),휴게소,"휴게소 식당 위생 불만
(여름철 해충 모기 등)","함평나비휴게소
(광주)",무안광주선12.1,무안광주선,12.1,35.03789346,126.5105095, 안전신문고 , 시설환경 
2023019501,2023-10-16 17:48,2023,10,16,구례지사,교통안전팀,기타,,기타,노선 낙하물 관련 CCTV 영상공개 요청,순천완주선,,,  ,,, 정보공개(포털) , 기타요인 
2023019493,2023-10-16 15:50,2023,10,16,구례지사,교통안전팀,교통,공통,단속,구간단속 시점부 설치 적정성 불만,구례화엄사IC (완주방향) ,순천완주선37.8,순천완주선,37.8,35.24998248,127.4192344, 국민신문고 , 시설환경 
2023019492,2023-10-16 15:45,2023,10,16,담양지사,도로안전팀,유지보수,공통,도로,노선 칡넝쿨 제거요청,"호남선(50.0, 천안)",논산천안선/호남선50,논산천안선/호남선,50,35.26162353,127.1393044, 홈페이지(전자민원) , 시설환경 
2023019482,2023-10-16 13:41,2023,10,16,광주지사,고객지원팀,영업,백양사(107),휴게소,"휴게소내 매장 식품 품질 불량
(호두과자 호두함유량)",백양사휴게소(순천),논산천안선/호남선107,논산천안선/호남선,107,35.39713429,126.8066816, 홈페이지(전자민원) , 업무처리 
2023019481,2023-10-16 13:41,2023,10,16,광주지사,고객지원팀,영업,,휴게소,-,,,,  ,,, 홈페이지(전자민원) , 업무처리 
2023019480,2023-10-16 13:40,2023,10,16,순천지사,고객지원팀,영업,주암(23),휴게소,"칭찬
(휴게소 직원)",주암휴게소(광양),논산천안선/호남선22.9,논산천안선/호남선,22.9,35.07631853,127.2649773, 국민신문고 , 직원요인 
2023019368,2023-10-16 9:01,2023,10,16,광주지사,도로안전팀,유지보수,공통,도로,"노선 위 페인트 자국 제거요청
(적색페인트 피로 오인 혐오유발)",동광주IC - 용봉IC,,,  ,,, 국민신문고 , 시설환경 
2023019367,2023-10-16 9:00,2023,10,16,광주지사,도로안전팀,유지보수,공통,시설,-,,,,  ,,, 안전신문고 , 시설환경 
2023019217,2023-10-12 9:00,2023,10,12,구례지사,고객지원팀,영업,오수(68.3),휴게소,"휴게소 펫시설 이용시간
미준수로 인한 불편",오수휴게소(전주),순천완주선73.9,순천완주선,73.9,35.53849873,127.3095923, 홈페이지(전자민원) , 시설환경 
2023019184,2023-10-11 13:53,2023,10,11,순천지사,도로안전팀,손해배상,순천2터널(순천(4.57),차량피해,"노선 잡물로 인한
차량피해 보상요청
(삭초작업 관련 잡물 추정)","순천2터널(순천)
진입 전",논산천안선/호남선4.6,논산천안선/호남선,4.6,35.01188892,127.4334562, 홈페이지(전자민원) , 시설환경 
